Category,Activity_Description,Spend_Amount,Spend_Currency,Emission_Factor,CO2e_Tonnes,Date,Supplier,Category_Details,Data_Quality
Category 2,Raw Materials - Aluminum,307889.19,USD,1.546,476.0,2024-08-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 15,Product Use Phase,326266.89,USD,0.999,325.94,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 8,Raw Materials - Aluminum,405672.44,USD,2.52,1022.29,2024-12-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 11,Packaging Materials,20531.92,USD,2.137,43.88,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 6,Manufacturing Equipment,194320.86,USD,2.335,453.74,2024-11-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 2,IT Hardware,48158.47,USD,2.051,98.77,2024-05-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 14,Packaging Materials,167347.66,USD,1.769,296.04,2024-03-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 11,Business Travel - Air,65346.88,USD,2.141,139.91,2024-02-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 7,IT Hardware,406779.21,USD,2.027,824.54,2024-12-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 9,IT Hardware,10097.04,USD,0.961,9.7,2024-04-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 4,Office Supplies,499988.33,USD,0.507,253.49,2024-05-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 13,Inbound Logistics - Truck,417724.79,USD,2.657,1109.89,2024-01-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 3,Product Use Phase,188983.22,USD,0.529,99.97,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 1,Business Travel - Air,182785.41,USD,2.173,397.19,2024-08-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 4,Inbound Logistics - Truck,120345.08,USD,2.899,348.88,2024-08-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 11,Product Use Phase,492235.46,USD,1.412,695.04,2024-05-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 9,Business Travel - Air,483167.81,USD,2.46,1188.59,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 1,Employee Commuting,437184.36,USD,1.686,737.09,2024-02-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 2,Packaging Materials,137122.86,USD,2.721,373.11,2024-03-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 15,Office Supplies,408534.92,USD,2.66,1086.7,2024-01-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 7,Inbound Logistics - Truck,187606.78,USD,1.189,223.06,2024-02-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 1,IT Hardware,465482.13,USD,2.526,1175.81,2024-11-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 3,Raw Materials - Steel,144152.82,USD,2.498,360.09,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 8,Product Use Phase,3620.35,USD,0.284,1.03,2024-05-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 9,Product Use Phase,264357.98,USD,0.378,99.93,2024-05-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 2,Raw Materials - Steel,119981.31,USD,1.935,232.16,2024-10-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 2,Employee Commuting,298772.78,USD,0.098,29.28,2024-09-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 5,Business Travel - Air,1780.6,USD,1.091,1.94,2024-10-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 11,Raw Materials - Aluminum,262218.79,USD,1.114,292.11,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 14,Employee Commuting,22723.68,USD,1.191,27.06,2024-06-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 6,Raw Materials - Aluminum,173056.44,USD,2.212,382.8,2024-11-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 12,IT Hardware,67571.39,USD,1.089,73.59,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 12,Employee Commuting,316236.19,USD,2.444,772.88,2024-02-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 5,Office Supplies,22859.33,USD,0.638,14.58,2024-01-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 9,Business Travel - Air,494572.23,USD,1.652,817.03,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 5,IT Hardware,431207.13,USD,0.191,82.36,2024-11-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 2,IT Hardware,219038.74,USD,1.23,269.42,2024-08-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 3,Employee Commuting,346342.18,USD,1.134,392.75,2024-09-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 12,Business Travel - Air,40384.58,USD,1.827,73.78,2024-03-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 2,Raw Materials - Aluminum,164632.03,USD,0.922,151.79,2024-08-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 12,Employee Commuting,176421.94,USD,0.175,30.87,2024-06-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 11,Raw Materials - Steel,38445.54,USD,1.931,74.24,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 3,Product Use Phase,339366.35,USD,1.343,455.77,2024-03-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 13,IT Hardware,181713.14,USD,2.851,518.06,2024-01-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 6,IT Hardware,222525.71,USD,0.277,61.64,2024-03-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 6,Manufacturing Equipment,125556.21,USD,0.385,48.34,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 9,Business Travel - Air,456857.71,USD,0.397,181.37,2024-05-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 10,Manufacturing Equipment,347296.34,USD,2.996,1040.5,2024-04-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 14,Raw Materials - Aluminum,226569.3,USD,2.701,611.96,2024-08-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 11,IT Hardware,355060.7,USD,1.672,593.66,2024-05-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 12,Packaging Materials,397054.5,USD,1.551,615.83,2024-02-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 4,Employee Commuting,14115.73,USD,1.684,23.77,2024-06-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 3,Product Use Phase,442238.98,USD,0.244,107.91,2024-07-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 7,Business Travel - Air,411846.36,USD,0.268,110.37,2024-06-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 8,Inbound Logistics - Truck,172912.88,USD,2.64,456.49,2024-09-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 7,Inbound Logistics - Truck,455445.42,USD,0.213,97.01,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 3,Packaging Materials,162007.71,USD,2.143,347.18,2024-06-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 5,Office Supplies,317893.49,USD,1.675,532.47,2024-03-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 9,Raw Materials - Aluminum,251784.0,USD,0.547,137.73,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 11,Product Use Phase,360595.75,USD,1.835,661.69,2024-10-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 2,Raw Materials - Steel,474324.88,USD,2.325,1102.81,2024-05-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 7,Product Use Phase,319856.6,USD,1.519,485.86,2024-11-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 8,Office Supplies,402539.39,USD,2.071,833.66,2024-05-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 12,Raw Materials - Steel,79882.14,USD,1.276,101.93,2024-08-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 10,Packaging Materials,156978.67,USD,2.169,340.49,2024-12-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 3,IT Hardware,257975.09,USD,0.363,93.64,2024-04-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 5,Employee Commuting,124711.52,USD,0.336,41.9,2024-05-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 7,Office Supplies,481380.24,USD,2.712,1305.5,2024-06-15,LogisticsPro,Scope 3 emissions category,Secondary data
Category 13,Packaging Materials,249634.51,USD,1.568,391.43,2024-08-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 1,Raw Materials - Aluminum,472671.17,USD,1.541,728.39,2024-04-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 6,Raw Materials - Steel,26219.66,USD,1.51,39.59,2024-11-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 9,Raw Materials - Steel,423739.01,USD,1.321,559.76,2024-05-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 6,Raw Materials - Steel,200890.23,USD,1.732,347.94,2024-04-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 5,Raw Materials - Aluminum,193788.06,USD,1.379,267.23,2024-09-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 11,Product Use Phase,60286.7,USD,2.926,176.4,2024-07-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 9,IT Hardware,377727.62,USD,0.637,240.61,2024-09-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 1,Raw Materials - Steel,20418.07,USD,2.155,44.0,2024-08-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 10,Inbound Logistics - Truck,70750.71,USD,2.798,197.96,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 10,Manufacturing Equipment,297268.6,USD,1.547,459.87,2024-09-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 5,Employee Commuting,408058.67,USD,1.137,463.96,2024-11-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 10,Manufacturing Equipment,398580.65,USD,2.19,872.89,2024-12-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 8,Manufacturing Equipment,483568.28,USD,2.36,1141.22,2024-10-15,OfficeMax,Scope 3 emissions category,Primary data
Category 10,Employee Commuting,86085.52,USD,1.906,164.08,2024-10-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 14,Office Supplies,16753.69,USD,2.847,47.7,2024-02-15,OfficeMax,Scope 3 emissions category,Primary data
Category 8,IT Hardware,209971.37,USD,1.268,266.24,2024-04-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 13,Product Use Phase,460339.95,USD,2.625,1208.39,2024-12-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 9,Office Supplies,280882.5,USD,2.994,840.96,2024-08-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 3,Employee Commuting,456149.96,USD,1.06,483.52,2024-06-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 8,Office Supplies,478711.36,USD,0.873,417.92,2024-05-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 13,Manufacturing Equipment,352745.57,USD,2.086,735.83,2024-08-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 6,Inbound Logistics - Truck,466916.49,USD,2.396,1118.73,2024-05-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 10,Inbound Logistics - Truck,190467.4,USD,2.941,560.16,2024-06-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 1,Manufacturing Equipment,477701.55,USD,0.283,135.19,2024-08-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 4,Office Supplies,414147.9,USD,0.85,352.03,2024-09-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 2,Product Use Phase,370704.6,USD,0.756,280.25,2024-01-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 1,Raw Materials - Aluminum,207237.38,USD,2.166,448.88,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 9,Packaging Materials,204046.82,USD,2.808,572.96,2024-08-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 13,Manufacturing Equipment,161262.68,USD,1.955,315.27,2024-02-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 12,Raw Materials - Steel,456701.63,USD,0.566,258.49,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 13,Employee Commuting,93969.5,USD,2.26,212.37,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 5,Product Use Phase,301788.7,USD,2.789,841.69,2024-06-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 11,Inbound Logistics - Truck,262634.95,USD,2.673,702.02,2024-03-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 4,Raw Materials - Aluminum,166011.36,USD,2.207,366.39,2024-11-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 1,IT Hardware,395593.06,USD,1.725,682.4,2024-04-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 14,Business Travel - Air,413667.92,USD,1.57,649.46,2024-02-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 3,Packaging Materials,239249.6,USD,2.811,672.53,2024-01-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 4,Employee Commuting,377124.57,USD,2.864,1080.08,2024-05-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 11,IT Hardware,346691.53,USD,0.233,80.78,2024-02-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 3,Business Travel - Air,343350.74,USD,2.773,952.11,2024-12-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 11,Manufacturing Equipment,184404.41,USD,0.702,129.45,2024-03-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 8,Product Use Phase,187438.8,USD,2.121,397.56,2024-08-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 11,Product Use Phase,436694.39,USD,0.292,127.51,2024-08-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 15,Product Use Phase,56992.19,USD,2.495,142.2,2024-09-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 9,Packaging Materials,83104.04,USD,2.571,213.66,2024-08-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 12,Product Use Phase,244925.16,USD,2.702,661.79,2024-08-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 3,Inbound Logistics - Truck,208296.86,USD,1.714,357.02,2024-09-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 12,Raw Materials - Steel,198578.41,USD,2.459,488.3,2024-12-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 2,Raw Materials - Steel,212425.0,USD,2.116,449.49,2024-09-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 15,Employee Commuting,16835.7,USD,1.256,21.15,2024-03-15,Corporate Travel,Scope 3 emissions category,Proxy data
Category 15,Business Travel - Air,224820.03,USD,2.755,619.38,2024-07-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 11,Inbound Logistics - Truck,67361.91,USD,2.588,174.33,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 7,Inbound Logistics - Truck,64546.2,USD,2.937,189.57,2024-01-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 8,Inbound Logistics - Truck,212639.89,USD,1.169,248.58,2024-04-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,Packaging Materials,138549.21,USD,2.815,390.02,2024-12-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 13,Business Travel - Air,307846.68,USD,2.812,865.66,2024-01-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 2,Raw Materials - Aluminum,297378.13,USD,1.367,406.52,2024-11-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 12,Raw Materials - Steel,201730.41,USD,0.741,149.48,2024-04-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 9,Manufacturing Equipment,117846.6,USD,2.753,324.43,2024-10-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 10,IT Hardware,119215.11,USD,2.635,314.13,2024-11-15,OfficeMax,Scope 3 emissions category,Industry average
Category 5,Manufacturing Equipment,31417.86,USD,2.848,89.48,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 9,Employee Commuting,24395.16,USD,1.066,26.01,2024-11-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 6,Business Travel - Air,204721.33,USD,0.935,191.41,2024-03-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 14,Office Supplies,151067.47,USD,2.137,322.83,2024-08-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 7,Business Travel - Air,279086.09,USD,0.446,124.47,2024-04-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 6,Raw Materials - Aluminum,461190.83,USD,2.549,1175.58,2024-02-15,OfficeMax,Scope 3 emissions category,Primary data
Category 5,Business Travel - Air,337162.29,USD,1.829,616.67,2024-02-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 12,Inbound Logistics - Truck,109291.24,USD,0.666,72.79,2024-06-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 4,Office Supplies,481076.7,USD,0.396,190.51,2024-08-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 12,Office Supplies,198919.4,USD,0.756,150.38,2024-06-15,TechEquip Corp,Scope 3 emissions category,Industry average
Category 8,Inbound Logistics - Truck,324711.95,USD,0.96,311.72,2024-06-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 2,Employee Commuting,381052.86,USD,0.995,379.15,2024-04-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 7,Raw Materials - Steel,281699.84,USD,0.703,198.03,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 9,Product Use Phase,289992.32,USD,1.282,371.77,2024-03-15,OfficeMax,Scope 3 emissions category,Proxy data
Category 4,Business Travel - Air,285324.97,USD,0.775,221.13,2024-09-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 13,Employee Commuting,483287.63,USD,1.943,939.03,2024-08-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 12,IT Hardware,85463.59,USD,2.175,185.88,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 11,Raw Materials - Steel,262448.26,USD,2.525,662.68,2024-02-15,SteelCorp Inc,Scope 3 emissions category,Primary data
Category 7,Packaging Materials,421429.81,USD,0.733,308.91,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 4,Inbound Logistics - Truck,228548.82,USD,0.228,52.11,2024-11-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 1,Raw Materials - Steel,266574.03,USD,1.263,336.68,2024-01-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 5,Raw Materials - Steel,251605.8,USD,2.109,530.64,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 15,Raw Materials - Aluminum,262668.32,USD,0.761,199.89,2024-10-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 5,Business Travel - Air,40430.6,USD,2.88,116.44,2024-08-15,OfficeMax,Scope 3 emissions category,Secondary data
Category 5,Raw Materials - Aluminum,327214.12,USD,2.582,844.87,2024-01-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 7,Business Travel - Air,276798.02,USD,0.216,59.79,2024-01-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 8,Business Travel - Air,322808.71,USD,1.027,331.52,2024-02-15,SteelCorp Inc,Scope 3 emissions category,Secondary data
Category 4,Product Use Phase,238274.64,USD,0.187,44.56,2024-02-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 10,Raw Materials - Steel,90497.9,USD,2.559,231.58,2024-01-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 3,Business Travel - Air,464508.6,USD,0.933,433.39,2024-10-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 14,Business Travel - Air,338840.45,USD,1.645,557.39,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 9,IT Hardware,27794.52,USD,1.339,37.22,2024-02-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 13,Product Use Phase,477474.34,USD,1.22,582.52,2024-06-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 13,Employee Commuting,245811.12,USD,1.1,270.39,2024-07-15,Corporate Travel,Scope 3 emissions category,Secondary data
Category 11,Product Use Phase,330675.28,USD,0.303,100.19,2024-10-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 12,Raw Materials - Aluminum,41936.97,USD,0.505,21.18,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 6,IT Hardware,54168.91,USD,0.065,3.52,2024-05-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 13,Manufacturing Equipment,52013.48,USD,0.308,16.02,2024-07-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 9,Inbound Logistics - Truck,204614.04,USD,0.127,25.99,2024-06-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 10,IT Hardware,431995.37,USD,0.086,37.15,2024-07-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 12,Inbound Logistics - Truck,452698.58,USD,2.936,1329.12,2024-10-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 3,Packaging Materials,135190.56,USD,0.842,113.83,2024-03-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 7,Manufacturing Equipment,211130.07,USD,1.478,312.05,2024-02-15,LogisticsPro,Scope 3 emissions category,Proxy data
Category 4,Employee Commuting,297309.39,USD,0.627,186.41,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 1,Business Travel - Air,166776.39,USD,1.88,313.54,2024-06-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 7,Product Use Phase,68926.11,USD,0.996,68.65,2024-12-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,Packaging Materials,482322.74,USD,2.908,1402.59,2024-05-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 13,Office Supplies,163617.23,USD,0.877,143.49,2024-07-15,LogisticsPro,Scope 3 emissions category,Primary data
Category 15,Product Use Phase,100700.22,USD,2.992,301.3,2024-03-15,SteelCorp Inc,Scope 3 emissions category,Industry average
Category 12,Office Supplies,219789.02,USD,0.909,199.79,2024-12-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 11,Employee Commuting,70450.38,USD,0.943,66.43,2024-05-15,PackagePro Ltd,Scope 3 emissions category,Industry average
Category 13,Business Travel - Air,37908.6,USD,2.973,112.7,2024-08-15,Corporate Travel,Scope 3 emissions category,Hybrid approach
Category 9,Business Travel - Air,272278.96,USD,2.383,648.84,2024-06-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 13,Office Supplies,329143.22,USD,1.097,361.07,2024-11-15,SteelCorp Inc,Scope 3 emissions category,Hybrid approach
Category 11,Business Travel - Air,483438.76,USD,1.028,496.98,2024-07-15,MetalSupply Co,Scope 3 emissions category,Primary data
Category 2,Manufacturing Equipment,111778.54,USD,2.253,251.84,2024-09-15,OfficeMax,Scope 3 emissions category,Industry average
Category 6,Business Travel - Air,232068.54,USD,2.055,476.9,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Proxy data
Category 1,Employee Commuting,53170.13,USD,1.277,67.9,2024-02-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 6,Manufacturing Equipment,172190.27,USD,2.364,407.06,2024-09-15,WasteManagement Co,Scope 3 emissions category,Proxy data
Category 8,Raw Materials - Aluminum,219644.8,USD,2.105,462.35,2024-06-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 1,Raw Materials - Aluminum,12269.97,USD,1.062,13.03,2024-02-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 9,Packaging Materials,276403.23,USD,1.026,283.59,2024-07-15,WasteManagement Co,Scope 3 emissions category,Secondary data
Category 13,Business Travel - Air,315250.4,USD,0.6,189.15,2024-11-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 1,Product Use Phase,441665.59,USD,1.376,607.73,2024-07-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 12,Office Supplies,103686.46,USD,2.269,235.26,2024-02-15,MetalSupply Co,Scope 3 emissions category,Hybrid approach
Category 3,IT Hardware,163666.47,USD,1.4,229.13,2024-05-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 11,IT Hardware,298888.44,USD,1.853,553.84,2024-10-15,MetalSupply Co,Scope 3 emissions category,Proxy data
Category 6,Employee Commuting,309063.98,USD,2.451,757.52,2024-12-15,TechEquip Corp,Scope 3 emissions category,Hybrid approach
Category 10,Raw Materials - Aluminum,336382.93,USD,0.974,327.64,2024-04-15,TechEquip Corp,Scope 3 emissions category,Primary data
Category 3,IT Hardware,347024.83,USD,1.557,540.32,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 7,Business Travel - Air,93691.1,USD,1.925,180.36,2024-12-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 3,Employee Commuting,145128.55,USD,0.602,87.37,2024-08-15,SteelCorp Inc,Scope 3 emissions category,Proxy data
Category 1,Employee Commuting,69130.82,USD,2.455,169.72,2024-09-15,WasteManagement Co,Scope 3 emissions category,Industry average
Category 11,Employee Commuting,208399.59,USD,2.528,526.83,2024-08-15,PackagePro Ltd,Scope 3 emissions category,Primary data
Category 10,Raw Materials - Steel,398144.56,USD,0.701,279.1,2024-01-15,TechEquip Corp,Scope 3 emissions category,Secondary data
Category 9,Manufacturing Equipment,84936.28,USD,1.399,118.83,2024-12-15,WasteManagement Co,Scope 3 emissions category,Hybrid approach
Category 9,Raw Materials - Aluminum,286784.31,USD,0.84,240.9,2024-09-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 14,Raw Materials - Steel,380242.06,USD,1.352,514.09,2024-04-15,Corporate Travel,Scope 3 emissions category,Primary data
Category 12,Office Supplies,149556.76,USD,2.998,448.37,2024-08-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 14,Raw Materials - Aluminum,220095.88,USD,2.982,656.33,2024-04-15,OfficeMax,Scope 3 emissions category,Hybrid approach
Category 12,IT Hardware,430663.3,USD,1.85,796.73,2024-07-15,PackagePro Ltd,Scope 3 emissions category,Hybrid approach
Category 3,Office Supplies,406951.4,USD,2.426,987.26,2024-10-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
Category 5,Product Use Phase,269845.5,USD,1.005,271.19,2024-12-15,TechEquip Corp,Scope 3 emissions category,Proxy data
Category 10,Manufacturing Equipment,476246.28,USD,1.568,746.75,2024-11-15,MetalSupply Co,Scope 3 emissions category,Secondary data
Category 13,Business Travel - Air,459465.59,USD,2.978,1368.29,2024-11-15,PackagePro Ltd,Scope 3 emissions category,Secondary data
Category 4,Packaging Materials,355986.03,USD,2.494,887.83,2024-11-15,Corporate Travel,Scope 3 emissions category,Industry average
Category 3,Product Use Phase,316568.59,USD,1.902,602.11,2024-07-15,WasteManagement Co,Scope 3 emissions category,Primary data
Category 11,Raw Materials - Aluminum,202022.54,USD,2.262,456.97,2024-12-15,LogisticsPro,Scope 3 emissions category,Industry average
Category 8,IT Hardware,291395.82,USD,2.613,761.42,2024-12-15,MetalSupply Co,Scope 3 emissions category,Industry average
Category 11,IT Hardware,425203.01,USD,2.397,1019.21,2024-07-15,OfficeMax,Scope 3 emissions category,Industry average
Category 14,Office Supplies,247862.76,USD,1.002,248.36,2024-05-15,LogisticsPro,Scope 3 emissions category,Hybrid approach
